discount_pct,unit_price,quantity,order_date,total_amount,customer_id,product_name,pincode,status,rating,order_id,city,category,payment_method,phone,state
30,$35.00,6,1714415400,35.00,CUST_???,Pen Set,,Cancelled,3,ORD_0164,unknown,  Stationery  ,Net Banking,+91-98636-06761,Karnataka
null,1800#,5,02/07/2023,0.00,,Webcam,591254 ,Returned,0,ORD_0165,"Pune,",Electronics,N/A,919937458376,maharashtra
150,75,-2,30-Aug-2023,,CUST_0278,Screen Cleaner,30220,Shipped,Good,ORD_0166,,Accessories,,09037154470,N/A
19,75,0,"Feb 09, 2023",0.00,,Screen Cleaner,054716, Cancelled,5 stars,ORD_0167,jaipur,Acce,COD,,  Rajasthan
,$899.00,0,"Apr 27, 2023",0.00,00261,USB Hub,,returned,5,ord_0168,JAIPUR,ELECTRONICS,,98344 92912,R@j@sth@n
10%,8500.0,19,20/08/2023,,CUST_0383,Monitor,550872,P3nding,,ORD_0169,  Bangalore,Elec,N/A,+91-93764-41422,K@rn@t@k@
N/A,25#,212,"Jan 31, 2023",Rs.25,CUST_???,Sticky Notes,15421,Pending ,5 stars,ORD_0170, Surat ,Stat,WALLET,,
N/A,850,17.0,02/06/2024,3400.00,CUST_0581,Laptop Bag,845523,Shipped ,5 stars,ORD_0171,,Acce,NET BANKING,+91 95012 21135,karnataka
150,75,-2,30-Aug-2023,,CUST_0278,Screen Cleaner,DUPLICATE,Shipped,Good,ORD_0166,,Accessories,,09037154470,N/A
10%,899,215,14-08-2024,1060.82,CUST_0499 ,USB Hub,979013,Canc3ll3d,4,ORD_0172,unknown,Electronicss,Net Banking,,Tel@ng@n@
,85.00,17,"Nov 14, 2024",Rs.85,CUST_0467,Stapler,571759,Canc,5 stars,ORD_0173, Kolkata ,STATIONERY,WALLET,09950420400,West Bengal
27,nan,0,"Jan 25, 2024",Rs.16200,00371,Office Chair,560486 , Returned,5,ORD_0174,  Mumbai,FURNITURE, COD,+91-93068-36287,N/A
9.3,8500#,-2,"Jun 02, 2024",8500.00,#REF!,Monitor,061506,Shipped,N/A,ORD_0175 ,,electronics,N/A,+91 93837 67329,Tel@ng@n@
22.9,4500#,-4,2024-10-07,314707.50,CUST_,Office Chair,000000,DELIVERED,1,ord_0176, Mumbai ,Furniture,UPI,,  Maharashtra
N/A,1200..,13,26/03/2024,"$18,000.00",,Laptop Stand,N/A,Delivered ,Good,ord_0177,  Bangalore,Electronicss,upi,+91 90904 56729,  Karnataka
10,nan,-1,24/06/2023,-7499250.00,CUST_0320,Keyboard,N/A,Cancelled,6,ord_0178,surat,Electronics,Debit Card,+91 98416 07428,Guj@r@t
21.7,Rs. 8500.00,15,07/08/2023,,00324,Monitor,099067,returned,,ORD_0179,Bangalore,electronics, Net Banking,92683 86172,Karnataka
1.3,1200.00,20,"Dec 29, 2023","$-75,000.00",CUST_???,Laptop Stand,157517,Returned,N/A,ORD_0180,  Surat,electronics,COD,919938777866,Gujarat
150,450#,-4,19/01/2024,-450.00,CUST_0400 ,Wireless Mouse,314222,R3turn3d,,ord_0181,"Bangalore,",Elec,COD,,
150,120#,243,1706639400,Rs.86,CUST_???,HDMI Cable,N/A,Shipped,5 stars,ORD_0182,unknown,ELECTRONICS,UPI,09220738612,N/A
10%,899#,-1,"Dec 23, 2024",$679.64,CUST_,USB Hub,31404,Canc3ll3d,,ORD_0183 ,,electronics,Wallet,+91 93930 95746,Gujarat
150,$45.00,15,"Feb 22, 2024",422507.75,CUST_???,Notebook,976176,pending,0,ORD_0184,,STATIONERY,CREDIT CARD,,Guj@r@t
N/A,Rs. 650.00,0,07-11-2024,,CUST_???,Desk Lamp,982684 ,Pending,,ORD_0185 ,jaipur,Electronicss,,919962413045,
,4500.00,-5,2023-02-17,Rs.4500,CUST_0526 ,Office Chair,771025,Shipp3d,,ORD_0186 ,KOLKATA,FURNITURE,DEBIT CARD,09562605235,West Bengal
8,120.00,-1,1735583400,Rs.0,CUST_0410,HDMI Cable,N/A,Returned,,ORD_0599,unknown,  Electronics  ,,,  Gujarat
N/A,nan,11,15-06-2023,"$3,750.00",,Keyboard,881282 ,pending,0,ORD_0187 ,,ELECTRONICS,CREDIT CARD,90946 84868,Maharashtra
30,Rs. 1800.00,9999,05/06/2023,0.00,#REF!,Webcam,N/A, Returned,N/A,ORD_0461, Surat ,Elec,,+91 93155 16137,Gujarat
150,650#,6,2023-08-17,1957.80,00436,Desk Lamp,N/A,Cancelled ,4,ORD_0188,,electronics,,+91-90866-28186,
2.6,nan,93,1720549800,-117.41,CUST_0270,Phone Holder,91875,Shipped,Good,ORD_0189,Ahmedabad,Accessories,Net Banking,+91 96217 32682,N/A
19,75..,-5,1682101800,75.00,CUST_0266,Screen Cleaner,528008,Canc3ll3d,0,ORD_0190,  Surat,Accessories,Credit Card,,N/A
23,650..,14,2024-02-07,0.00,#REF!,Desk Lamp,394932 ,Canc3ll3d,4,ORD_0191 ,"Surat,",electronics, UPI,9100324218,  Gujarat
,inf,0,2023-07-08,"$8,989,101.00",00417,USB Hub,,Delivered,0,ORD_0192,unknown,  Electronics  ,credit card,9695158991,Gujarat
,2200#,9999,"Apr 03, 2024",2310.00,CUST_0325 ,Bookshelf,,Cancelled,0,ORD_0193,PUNE,  Furniture  ,,+91-92199-84899,M@h@r@shtr@
-5,2200.0,3.0,01-08-2023,"$32,340.00",CUST_,Bookshelf (New),23474,Shipp3d,2,ORD_0194,,Furn,N/A,+91-91897-10853,Maharashtra
10%,199#,15,16-Oct-2023,$0.00,#REF!,Phone Holder,562904,Canc,N/A,ORD_0195,unknown,ACCESSORIES,,+91 98370 19153,maharashtra
null,120.00,4.0,20-Jun-2024,0.00,CUST_0153,HDMI Cable,,Returned ,,ORD_0196,  Pune,electronics, COD,,  Maharashtra
150,nan,N/A,09-Mar-2023,8640.00,CUST_,Laptop Stand,939137 ,RETURNED,0,ord_0197,,Elec,WALLET,919686680685,tamil nadu
150,Rs. 45.00,8,"Jul 20, 2023",-45.00,CUST_,Notebook,667297,Delivered ,5,ORD_0198, Delhi ,Stationerys,UPI,96776 00888,Delhi
,inf,,"Sep 12, 2023",-24500.00,CUST_0484,Standing Desk,, Delivered,6,ord_0199,"Mumbai,",FURNITURE,CREDIT CARD,919203417760,Maharashtra
16,Rs. 199.00,-1,29/02/2024,2587.00,CUST_0422 ,Phone Holder (New),,pending,5 stars,ORD_0200,"Kolkata,",Accessories,NET BANKING,+91-92931-23994,West Bengal
22,inf,,2024-06-19,8640.00,CUST_0155,Webcam,22643,Ship,5,ord_0201,  Chennai,  Electronics  ,N/A,+91 94632 17188,
null,nan,317,"May 30, 2023",,CUST_0428 ,Screen Cleaner,,Returned,N/A,ORD_0202,  Bangalore,Accessories,Wallet,09314832835,karnataka
,35,0,22-Jul-2024,105.00,CUST_0114,Pen Set,,Shipped,,ORD_0203 ,SURAT,  Stationery  ,debit card,919114073807,N/A
29,25,275,02/06/2023,-4212.50,,Sticky Notes,740495,DELIVERED,Good,ORD_0204 ,  Jaipur,STATIONERY,net banking,9489136386,Rajasthan
150,nan,,07-12-2024,0.00,,HDMI Cable,808454 ,CANCELLED,,ORD_0205,ahmedabad,Electronics,N/A,,
150,9800.0,-2,11-04-2023,0.00,CUST_???,Standing Desk,000000,Delivered,Good,ORD_0206, Pune ,furniture,COD,96964 66232,M@h@r@shtr@
8,inf,9,21-May-2023,441.00,CUST_0365,Wireless Mouse,N/A, Pending,6,ORD_0207,  Bangalore,Electronicss,COD,919322296878,N/A
3,$25.00,15,"Jul 23, 2024",29.50,CUST_0305,Sticky Notes,568426 ,D3liv3r3d,2,ORD_0208,"Kolkata,",  Stationery  ,upi,9294654850,
150,nan,491,"Nov 11, 2023",-382.50,CUST_0337 ,Wireless Mouse,91473,Shipped,3,ORD_0209,Kolkata,Electronics, Net Banking,09805107407,West Bengal
17.1,Rs. 650.00,409,1697913000,2215.20,CUST_,Desk Lamp - Imported,,Deli,6,ord_0210,,Elec,,+91-92262-24914,Tamil Nadu
,199.0,-4,31-Mar-2023,Rs.1393,CUST_0169,Phone Holder,823031 ,Shipped,5 stars,ord_0211,JAIPUR,Acce,,9420645618,Rajasthan
150,Rs. 899.00,,1722969000,99114.53,CUST_0277,USB Hub,N/A,Cancelled ,0,ORD_0212 ,AHMEDABAD,Elec,COD,9374924031,Gujarat
28,450#,13,26-06-2024,225.00,CUST_???,Wireless Mouse,642316,Delivered ,1,ORD_0213,BANGALORE,ELECTRONICS, Debit Card,,K@rn@t@k@
-5,75.0,9999,17-10-2023,-1050.00,CUST_0120,Screen Cleaner,N/A,Delivered,,ORD_0214,unknown,accessories,Net Banking,9080324346,
9,4500.00,10.0,"Oct 04, 2024",0.00,CUST_0280,Office Chair,428142 ,shipped,5 stars,ORD_0215 ,  Ahmedabad,FURNITURE,,95642 28178,Gujarat
10%,inf,0,23-09-2024,,,Stapler,91481,Canc,6,ord_0607,,Stat,N/A,09758463523,Tamil Nadu
null,25..,-2,"Sep 21, 2024",-25.00,CUST_0386 ,Sticky Notes,194851 ,Returned,5,ORD_0216 ,jaipur,STATIONERY,UPI,92056 45397,rajasthan
,Rs. 899.00,12.0,22-Aug-2023,,CUST_???,USB Hub,N/A,Pending,Good,ord_0217,,Electronics,CREDIT CARD,919415203256,  Tamil Nadu
10%,1200,9999,1703097000,,CUST_0146 ,Laptop Stand  ,000000, Delivered,,ORD_0218, Mumbai ,  Electronics  ,Credit Card,90346 80158,Maharashtra
-5,899#,N/A,1677004200,Rs.9925,CUST_???,USB Hub,223399,Deli,6,ORD_0219,"Surat,",  Electronics  ,N/A,96188 17828,
24,2200.00,271,2024-06-05,"$35,200.00",CUST_???,Bookshelf,038201,PENDING,,ORD_0220, Chennai ,Furnitures,debit card,+91 92281 32015,Tamil Nadu
26,120,90.0,13-12-2024,568.80,00377,HDMI Cable  ,986558 ,Pending,0,ORD_0221,unknown,ELECTRONICS,cod,,Gujarat
28,nan,14,22/11/2023,Rs.16512,CUST_0496 ,Laptop Stand,N/A,RETURNED,N/A,ORD_0222 ,MUMBAI,electronics,Wallet,919741565287,N/A
13,120.0,0,"Dec 16, 2023",Rs.120,00504,HDMI Cable,,Shipped ,N/A,ORD_0223,,electronics,N/A,09832341154,Gujarat
null,1800.00,17,"Aug 19, 2023",1800.00,CUST_0439 ,Webcam,266656,Shipped,0,ord_0224,,ELECTRONICS, Debit Card,09874366502,gujarat
150,899,0,1713033000,-10068.80,#REF!,USB Hub,,Ship,,ORD_0225 ,bangalore,Electronics,Debit Card,,K@rn@t@k@
-5,Rs. 85.00,5,2024-04-05,,CUST_,Stapler,014864,Shipped ,,ORD_0226 ,bangalore,Stationerys,Credit Card,,N/A
N/A,850..,0,01-Aug-2023,0.00,,Laptop Bag,713706 ,Returned,4,ORD_0227,  Surat,Acce,UPI,92844 73432,
10%,35..,13,1722191400,Rs.32,CUST_0281,Pen Set,270491,Pending,-1,ORD_0228, Surat ,Stat,Debit Card,919378375713,N/A
null,$650.00,9.0,2023-12-18,"$2,340.00",CUST_0182 ,Desk Lamp,N/A,Shipped ,,ORD_0229,  Delhi,Electronicss,Wallet,9696856379,Delhi
14,nan,,30-Aug-2023,Rs.57600,CUST_0272,HDMI Cable,096594,Shipp3d,1,ORD_0230 ,jaipur,  Electronics  ,UPI,09287896922,Rajasthan
16,850.0,-1,1716575400,-8499150.00,CUST_,Laptop Bag,080479,Shipped ,N/A,ORD_0231,  Pune,Acce,N/A,9066894874,maharashtra
150,$199.00,397,02-Dec-2024,-994900.50,#REF!,Phone Holder,288708 ,R3turn3d,6,ORD_0232,Jaipur,Acce,COD,9517913151,rajasthan
,"$4,500.00",2,"Jan 14, 2023",79650.00,CUST_0567,Office Chair,113522,Returned,-1,ORD_0233,DELHI,Furnitures,UPI,+91-93654-61484,Delhi
N/A,25,N/A,"Aug 04, 2023",,,Sticky Notes,484502,Delivered,5 stars,ord_0234,unknown,stationery,UPI,,rajasthan
-5,$450.00,1.0,2023-06-05,-450.00,CUST_0545,Wireless Mouse,,Canc,-1,ord_0235,Delhi,Electronicss, Debit Card,+91 98421 70482,delhi
150,75..,5,21-Aug-2023,112.50,CUST_,Screen Cleaner,N/A,cancelled,6,ORD_0236,  Chennai,ACCESSORIES,,97155 07769,T@mil N@du
26,199.0,19.0,25/10/2023,0.00,CUST_0169 ,Phone Holder  ,000000,Cancelled,5 stars,ORD_0237,,Acce, COD,+91-96823-15805,Delhi
6,75#,11.0,2023-10-28,-337.50,CUST_0574,Screen Cleaner,104838 ,Shipp3d,N/A,ORD_0238,  Kolkata,  Accessories  ,UPI,,West Bengal
11,45#,9999,23-07-2024,-45.00,00571,Notebook - Imported,79654,pending,-1,ORD_0239 ,,Stat,N/A,+91-92927-30651,Telangana
null,899#,131,19-Dec-2023,Rs.161694,CUST_,USB Hub,N/A,PENDING,6,ord_0240,,Elec,COD,+91-92505-25873,T@mil N@du
150,Rs. 650.00,5,1709058600,-3249675.00,,Desk Lamp,,SHIPPED,-1,ord_0241,"Chennai,",Elec, UPI,+91 91197 70523,N/A
14,45.00,,16-05-2023,449955.00,CUST_0554,Notebook,365840,Canc3ll3d,6,ORD_0242,ahmedabad,STATIONERY,N/A,91172 45472,  Gujarat
28,199..,16,24-Apr-2024,Rs.199,CUST_0284 ,Phone Holder,963528 ,Pending ,6,ORD_0243,"Jaipur,",Accessories,cod,97162 67935,Rajasthan
14,25.00,150,06-Jul-2024,-50.00,CUST_0174,Sticky Notes,74255,D3liv3r3d,,ORD_0244,MUMBAI,STATIONERY,Credit Card,+91 90822 40709,maharashtra
10%,Rs. 8500.00,N/A,27-04-2024,-76492350.00,#REF!,Monitor,023536,Pending ,-1,ORD_0245,"Delhi,",Electronicss, COD,94641 21078,  Delhi
-5,450.0,9999,07-May-2023,"$2,250.00",CUST_0593,Wireless Mouse,,Deli,6,ORD_0346,unknown,electronics,UPI,+91-90004-65682,
,8500..,7,2024-08-11,8032.50,CUST_???,Monitor,,Deli,2,ORD_0246 ,  Jaipur,Elec,WALLET,90234 56790,Rajasthan
null,650.0,-3,"Feb 15, 2024",6109389.00,CUST_0559,Desk Lamp  ,198243,Cancelled ,6,ORD_0247,pune,Elec,COD,+91-96519-21098,Maharashtra
null,nan,9999,16-03-2023,28512.00,CUST_0115 ,Bookshelf,241350,Returned,N/A,ORD_0248 , Delhi ,  Furniture  ,,09050704193,Delhi
0,25#,-1,"Feb 02, 2024",,,Sticky Notes,074169, Shipped,N/A,ORD_0249,"Chennai,",STATIONERY, Credit Card,+91-92693-03009,N/A
N/A,"$4,500.00",,09-Oct-2023,1452532.50,CUST_0176 ,Office Chair,000000, Delivered,5 stars,ORD_0250,mumbai,Furn,N/A,+91 92386 39310,
-5,75.00,0,04-05-2024,Rs.16472,CUST_0104,Screen Cleaner,77543, Returned,N/A,ORD_0251,mumbai,accessories,CREDIT CARD,97548 18296,  Maharashtra
N/A,"$8,500.00",14,1689445800,83291670.00,CUST_0508,Monitor,,Canc3ll3d,,ORD_0252,unknown,Electronics,N/A,09785524831,N/A
6.8,1800.0,N/A,1685989800,$-900.00,CUST_???,Webcam  ,81962,Returned,-1,ORD_0035,jaipur,ELECTRONICS,DEBIT CARD,919119417577,N/A
-5,35.0,193.0,19/11/2023,2170.00,CUST_???,Pen Set,N/A,Ship,6,ORD_0253,"Mumbai,",Stat,Wallet,+91 91617 23639,Maharashtra
150,199.0,6.0,31-Dec-2024,"$3,010.87",CUST_0599,Phone Holder,217492, Shipped,N/A,ord_0254,,ACCESSORIES,N/A,9115165583,karnataka
null,75#,16,"Dec 06, 2024",1242.00,#REF!,Screen Cleaner,092023,delivered,5 stars,ORD_0255,unknown,Accessories,Debit Card,98161 54316,N/A
9,25#,-4,29-Jun-2023,392.00,CUST_0322,Sticky Notes,000000,DELIVERED,-1,ord_0256,Jaipur,Stationery,,09890185243,
19,nan,9999.0,28-01-2023,-8500.00,CUST_???,Monitor,880864 ,Pendind,,ORD_0257,  Jaipur,Electronicss,upi,09358734685,  Rajasthan
30,75#,301,31/03/2023,324.00,CUST_0490,Screen Cleaner,000000, Shipped,Good,ORD_0258,unknown,Accessories,upi,919639489974,Gujarat
30,$750.00,0,1684348200,,CUST_0408,Keyboard,772938,Pendind,5 stars,ord_0259,"Jaipur,",electronics,N/A,919292221979,Rajasthan
null,Rs. 8500.00,9999,22-Jun-2024,0.00,00282,Monitor (New),000000,Retu,0,ORD_0260,Delhi,ELECTRONICS, Wallet,91790 27354,Delhi
N/A,2200.00,9999,06-Apr-2024,-9900.00,CUST_???,Bookshelf,441328,DELIVERED,Good,ord_0261,,FURNITURE,Net Banking,919419938067,Tamil Nadu
,$75.00,-2,2023-10-09,675.00,00564,Screen Cleaner,N/A,Ship,,ORD_0262,,Acce,COD,,tamil nadu
N/A,85..,6.0,02/11/2023,86.26,00432,Stapler,672876,Deli,,ord_0263,,Stationerys,N/A,09270495523,Rajasthan
null,120,14,23/06/2023,Rs.-60,,HDMI Cable,353250 ,shipped,Good,ord_0264,  Chennai,  Electronics  ,WALLET,,
N/A,nan,N/A,1720722600,-1222.00,#REF!,Desk Lamp,760885 ,RETURNED,1,ORD_0265,MUMBAI,Electronics, Wallet,92444 66381,Maharashtra
N/A,750.00,9999,26/11/2024,-0.00,00557,Keyboard,,Pending ,6,ord_0266,Bangalore,Electronicss,N/A,+91 94341 00913,Karnataka
30,$45.00,9.0,2024-01-26,0.00,CUST_0555,Notebook,75433,CANCELLED,-1,ORD_0267,  Hyderabad,stationery,Debit Card,09371574611,Telangana
N/A,850..,9999,14/11/2024,Rs.8499150,00330,Laptop Bag,154623, Returned,2,ORD_0268,"Ahmedabad,",Acce,upi,,Guj@r@t
N/A,"$4,500.00",9999,2023-04-25,-49500.00,CUST_0321,Office Chair,044410,returned,0,ORD_0269,JAIPUR,  Furniture  ,N/A,09371560955,Rajasthan
5.5,1200.00,286.0,22-09-2024,-600.00,CUST_,Laptop Stand,935487,cancelled,3,ORD_0270,PUNE,Electronicss,Wallet,+91 95163 28424,  Maharashtra
150,4500#,19,15-02-2023,0.00,CUST_,Office Chair,69188,Cancelled ,,ORD_0271,"Chennai,",FURNITURE,N/A,9310166052,
10%,inf,6,2023-07-09,0.00,CUST_0214,Webcam,043148,Shipped ,3,ord_0272,,Electronicss,DEBIT CARD,09568317700,
150,120,18,02/02/2024,-126.00,CUST_0124 ,HDMI Cable,106781, Shipped,-1,ORD_0273,unknown,Electronicss,CREDIT CARD,09517365774,maharashtra
18,$750.00,-5,12-06-2024,,CUST_???,Keyboard,013127,Pending,-1,ORD_0274,DELHI,  Electronics  ,COD,+91 94708 20711,N/A
30,120.00,0,"Nov 01, 2023",2832.00,00439,HDMI Cable,57399, Cancelled,-1,ORD_0275,AHMEDABAD,Electronicss,,9996662738,gujarat
3,750#,341,1686249000,Rs.-750,CUST_???,Keyboard,92524,DELIVERED,,ORD_0276,unknown,Elec,,+91-93523-19771,T@mil N@du
null,nan,54,20-Aug-2024,5664.00,00121,Laptop Stand - Imported,N/A,Shipp3d,4,ord_0277,  Kolkata,electronics,,09373139415,  West Bengal
12,75.00,18,28/06/2023,,CUST_0361,Screen Cleaner (New),N/A,Shipped ,3,ORD_0278,,ACCESSORIES,Credit Card,9335604001,Delhi
null,Rs. 750.00,N/A,"Jan 06, 2023",Rs.12000,CUST_0300,Keyboard,841704,PENDING,N/A,ord_0279,Delhi,Electronics,COD,+91-92220-58574,
30,450.0,12,21-11-2024,684.00,#REF!,Wireless Mouse,,Returned,-1,ord_0280,unknown,Elec,WALLET,9193141877,Rajasthan
null,1800..,198,19-05-2023,0.00,00211,Webcam,164016,Delivered,-1,ORD_0281 ,unknown,Elec,,+91-92429-32154,Delhi
10%,120.00,0,15/04/2023,,00260,HDMI Cable,75776,Returned ,0,ORD_0282,MUMBAI,electronics,DEBIT CARD,919111979943,M@h@r@shtr@
,$199.00,,21-07-2024,0.00,CUST_???,Phone Holder,925038 ,Canc3ll3d,0,ORD_0283,"Chennai,",accessories,Wallet,09354390782,Tamil Nadu
,8500.00,186,16/06/2024,6740.50,00351,Monitor,974866,delivered,Good,ORD_0284,chennai,ELECTRONICS,Net Banking,09984618931,tamil nadu
11,120.00,9999,21/01/2024,82.92,CUST_0262,HDMI Cable,881084,Returned,6,ORD_0285,kolkata,Elec, UPI,+91 98448 64918,
,Rs. 2200.00,-4,1700591400,"$23,097,690.00",,Bookshelf,502661 ,SHIPPED,Good,ORD_0286, Chennai ,furniture,DEBIT CARD,9759568818,N/A
16,"$1,200.00",336.0,26/09/2023,,CUST_0296,Laptop Stand,679250 ,Deli,5 stars,ord_0287,  Delhi,Electronics, UPI,09076528188,Delhi
,25#,123,1684434600,$332.50,#REF!,Sticky Notes,N/A,Shipped,N/A,ORD_0288,Jaipur,Stat,COD,+91 91868 39659,R@j@sth@n
15,inf,N/A,1678645800,-900.00,#REF!,Wireless Mouse,N/A, Delivered,N/A,ORD_0289, Mumbai ,Electronicss,,,maharashtra
10%,450.00,196,2024-05-16,,#REF!,Wireless Mouse,736820,Pendind,6,ORD_0290,Ahmedabad,ELECTRONICS,N/A,+91-96492-41083,  Gujarat
-5,inf,,04-03-2024,36.75,,Pen Set,,Retu,N/A,ORD_0291,CHENNAI,stationery,COD,,
150,nan,144.0,04/08/2023,425.70,CUST_,Wireless Mouse,090858,Pending,6,ORD_0292,Ahmedabad,Electronics,N/A,+91-92103-12847,Guj@r@t
15,inf,0,"Jan 21, 2024",21997800.00,00453,Bookshelf,246606,Retu,Good,ORD_0293 ,CHENNAI,Furnitures,upi,09002245055,  Tamil Nadu
150,1800.00,0,18-10-2024,5022.00,CUST_,Webcam,069816,pending,-1,ord_0294,JAIPUR,ELECTRONICS,wallet,9574727412,R@j@sth@n
6,4500,-4,2024-03-03,"$90,000.00",,Office Chair,96459,Delivered ,0,ORD_0295,,Furn,Credit Card,96806 02712,Gujarat
null,8500..,-2,17-Jan-2023,-84991500.00,CUST_0482 ,Monitor,537196,Returned,0,ord_0296, Mumbai ,  Electronics  ,N/A,90860 16998,Maharashtra
-5,4500#,N/A,23/01/2024,41944805.10,CUST_,Office Chair,70497,pending,6,ORD_0297 ,"Chennai,",  Furniture  , Wallet,09102173967,
,Rs. 45.00,9999,14-04-2023,0.00,#REF!,Notebook,20116,D3liv3r3d,0,ORD_0298 ,unknown,STATIONERY,CREDIT CARD,9122347220,N/A
30.3,25..,,"Jan 06, 2024",Rs.-0,CUST_???,Sticky Notes,973257,PENDING,,ORD_0299,  Bangalore,STATIONERY,,919296675162,karnataka
5,4500#,,19/06/2023,34646535.00,CUST_0507 ,Office Chair,000000,pending,-1,ORD_0300, Mumbai ,Furniture,,,
,850.00,,2023-09-26,0.00,CUST_0513 ,Laptop Bag,446573,DELIVERED,2,ORD_0301,,ACCESSORIES,N/A,,  Karnataka
N/A,inf,4,10-Mar-2023,11974.68,CUST_???,USB Hub,000000,Delivered,Good,ord_0302,"Mumbai,",Electronics,CREDIT CARD,9576837198,  Maharashtra
-5,1800..,,1708713000,Rs.1386,CUST_0455,Webcam,059792,Cancelled,N/A,ORD_0303,unknown,Electronicss,,92386 96659,Gujarat
-5,Rs. 8500.00,-3,2024-06-05,66096.00,CUST_0550,Monitor,650329 ,Returned ,5 stars,ORD_0304,,ELECTRONICS,Credit Card,+91-94719-64462,N/A
discount_pct,unit_price,quantity,order_date,total_amount,customer_id,product_name,pincode,status,rating,order_id,city,category,payment_method,phone,state
null,1800.00,10,05-Sep-2024,35683.20,CUST_???,Webcam,361617 ,Cancelled ,Good,ord_0305,surat,electronics,NET BANKING,98191 84906,
,4500.00,9999,20-Feb-2024,"$67,500.00",CUST_0413,Office Chair,000000,Retu,6,ORD_0306 ,,  Furniture  ,N/A,9412407431,rajasthan
,9800,9999,1732732200,,CUST_???,Standing Desk,420615 ,cancelled,,ORD_0307,Surat,  Furniture  ,UPI,92817 16111,Gujarat
,899.00,4.0,1708021800,,,USB Hub,638305 ,PENDING,N/A,ORD_0308,"Mumbai,",Elec,wallet,95298 03500,  Maharashtra
-5,$25.00,11,2024-02-12,26.25,CUST_0412 ,Sticky Notes,370171,SHIPPED,,ORD_0309,,Stationerys,,9376447138,N/A
19,nan,-5,30-Dec-2024,51184.79,CUST_???,Phone Holder,N/A,CANCELLED,5 stars,ORD_0310,"Delhi,",Accessoriess,CREDIT CARD,93903 16272,N/A
,inf,14,09/12/2023,4566.60,CUST_0407,Office Chair,157021 , Returned,3,ORD_0311,unknown,Furniture,WALLET,919775486638,T@mil N@du
N/A,Rs. 650.00,9999.0,1723487400,0.00,,Desk Lamp,247260,Shipped,6,ORD_0312,"Ahmedabad,",Elec, COD,9512008232,gujarat
-5,nan,9,30-03-2024,17980.00,CUST_,USB Hub  ,361106,Canc3ll3d,3,ord_0313,,Electronicss,,+91 99969 56034,Maharashtra
150,750#,,09-05-2023,,00360,Keyboard,073671, Returned,N/A,ORD_0314,,ELECTRONICS,COD,97793 26875,N/A
17,Rs. 1200.00,9999.0,25-01-2023,-1200.00,#REF!,Laptop Stand,,Returned ,1,ORD_0349,"Bangalore,",Elec,WALLET,,K@rn@t@k@
0,inf,-4,28-04-2024,78392160.00,#REF!,Standing Desk,409608, Shipped,5 stars,ord_0315,  Mumbai,Furniture,N/A,,M@h@r@shtr@
N/A,8500,-5,14-11-2024,142120.00,CUST_0515,Monitor,,Shipped,5 stars,ORD_0316,kolkata,ELECTRONICS,,,  West Bengal
13,inf,0,28/07/2023,1705.10,CUST_0117 ,Stapler,954296 ,PENDING,,ORD_0317 ,kolkata,stationery,debit card,+91-92084-12299,West Bengal
N/A,nan,4,2024-10-09,212.40,CUST_???,Notebook,290842,Retu,4,ORD_0318,,Stationerys,WALLET,99543 98294,  Gujarat
23,8500,N/A,2023-07-02,39525.00,CUST_,Monitor,,Returned,,ord_0319,CHENNAI,electronics, Debit Card,9129884488,N/A
22,120#,11,19/10/2023,"$1,771.20",#REF!,HDMI Cable,677178,Shipped,N/A,ORD_0320 ,ahmedabad,  Electronics  , COD,+91-93868-69876,Gujarat
,1200.0,N/A,1735065000,0.00,CUST_0434 ,Laptop Stand,41435,R3turn3d,,ORD_0321,"Mumbai,",electronics, Net Banking,+91 94665 80179,  Maharashtra
9.1,"$1,800.00",N/A,27-01-2024,19008.00,,Webcam,000000,Canc3ll3d,Good,ORD_0322,SURAT,electronics,debit card,09999045577,  Gujarat
16,25#,0,13-06-2023,-75.00,CUST_???,Sticky Notes,000000,shipped,N/A,ORD_0323 ,Pune,Stat,N/A,+91-96966-26974,Maharashtra
-5,nan,5,2023-12-09,1886911.60,CUST_0396 ,Standing Desk,,Pending ,,ORD_0324,  Delhi,FURNITURE,UPI,919614453204,Delhi
9.4,4500#,4,14-05-2024,9000.00,CUST_,Office Chair,48380,Pending,0,ORD_0325,  Hyderabad,Furnitures,N/A,,telangana
null,inf,,"Aug 18, 2024",21997800.00,CUST_0174 ,Bookshelf,86885,P3nding,,ORD_0326 , Surat ,Furniture, UPI,,Gujarat
N/A,nan,17,2024-08-08,,CUST_0272 ,Screen Cleaner,,D3liv3r3d,N/A,ORD_0327 ,"Delhi,",Accessories,N/A,919131084456,  Delhi
,750.0,N/A,2023-05-03,0.00,CUST_0279,Keyboard,387222,Delivered ,,ORD_0328,MUMBAI,  Electronics  ,credit card,+91 91606 90015,  Maharashtra
7,85,9999,02/01/2024,$595.00,CUST_0189,Stapler,835899,D3liv3r3d,Good,ORD_0329, Pune ,STATIONERY,wallet,9991967590,maharashtra
,75..,9999,19-Mar-2023,0.00,CUST_0380,Screen Cleaner - Imported,260659 ,Shipp3d,1,ord_0330,  Ahmedabad,  Accessories  , Net Banking,09958021375,N/A
